time/s          ,Ewe/V           ,x_Na            ,SpecCap/mAh/g   ,D/cm^2/s        ,Cycle           
1.2379941465e+06,2.8532317000e+00,5.3923526444e-01,4.2284653158e+01,1.9868769876e-10,   1
1.2532941252e+06,2.8201845000e+00,5.4795338498e-01,4.0493079387e+01,1.6146840534e-10,   1
1.2685941039e+06,2.7715151000e+00,5.5667149433e-01,3.8701507916e+01,3.3589734893e-10,   1
1.2838940826e+06,2.6764593000e+00,5.6538935484e-01,3.6909987581e+01,3.5424703195e-10,   1
1.2991940612e+06,2.5859473000e+00,5.7410736383e-01,3.5118436733e+01,1.8030865068e-10,   1
1.3144940401e+06,2.5326827000e+00,5.8282526550e-01,3.3326907940e+01,5.9926886966e-11,   1
1.3297940186e+06,2.5046804000e+00,5.9154316276e-01,3.1535380052e+01,5.1586428740e-11,   1
1.3450939975e+06,2.4797213000e+00,6.0026102704e-01,2.9743858942e+01,2.1915999361e-11,   1
1.3603939760e+06,2.4632323000e+00,6.0897902921e-01,2.7952309497e+01,5.6644136597e-11,   1
1.3756939549e+06,2.4345713000e+00,6.1769691542e-01,2.6160783881e+01,2.1956979811e-09,   1
1.3844491074e+06,2.5983477000e+00,6.1531794095e-01,2.6649663135e+01,3.0197985627e-09,   2
1.3925490962e+06,2.7730086000e+00,6.0659284257e-01,2.8442670852e+01,1.9022747873e-09,   2
1.4006490850e+06,2.8396008000e+00,5.9786771619e-01,3.0235684324e+01,1.0375292612e-09,   2
1.4087490738e+06,2.8767166000e+00,5.8914243228e-01,3.2028730166e+01,8.1905525774e-10,   2
1.4168490626e+06,2.9076695000e+00,5.8041730679e-01,3.3821743454e+01,7.2805287847e-10,   2
1.4249490515e+06,2.9377296000e+00,5.7169198524e-01,3.5614797033e+01,5.3376544561e-10,   2
1.4330490401e+06,2.9705217000e+00,5.6296679042e-01,3.7407824569e+01,1.3916819112e-09,   2
1.4411490291e+06,3.0139525000e+00,5.5424147742e-01,3.9200876390e+01,1.9995451818e-09,   2
1.4492490179e+06,3.0569224000e+00,5.4551643447e-01,4.0993872716e+01,2.1789212972e-09,   2
1.4573490067e+06,3.0893004000e+00,5.3679148696e-01,4.2786849430e+01,1.9936575279e-09,   2
1.4654489955e+06,3.1140382000e+00,5.2806658551e-01,4.4579816678e+01,9.3627652814e-10,   2
1.4735489843e+06,3.1363904000e+00,5.1934169939e-01,4.6372780774e+01,2.5620337949e-11,   2
1.5950488165e+06,3.5861237000e+00,3.8846680838e-01,7.3267570878e+01,1.8255605917e-09,   2
1.6031488053e+06,3.6190338000e+00,3.7974177054e-01,7.5060566153e+01,1.7732908548e-09,   2
1.6112487942e+06,3.6507931000e+00,3.7101683348e-01,7.6853540720e+01,1.7230632518e-09,   2
1.6193487830e+06,3.6813684000e+00,3.6229180130e-01,7.8646534833e+01,6.3358667916e-11,   2
1.6679487158e+06,3.8453681000e+00,3.0994233631e-01,8.9404349889e+01,7.9970172594e-11,   2
1.7003486711e+06,3.9494712000e+00,2.7504315885e-01,9.6576130856e+01,8.3979359516e-11,   2
1.7327486263e+06,4.0501747000e+00,2.4014250604e-01,1.0374821501e+02,9.2351600237e-10,   2
1.7408486152e+06,4.0704494000e+00,2.3141715342e-01,1.0554127497e+02,2.3133139630e-10,   2
1.7489486040e+06,4.0888190000e+00,2.2269173725e-01,1.0733434800e+02,1.8821641052e-10,   2
1.7570485928e+06,4.1057115000e+00,2.1396660557e-01,1.0912736256e+02,1.8915986652e-10,   2
1.7651485816e+06,4.1229300000e+00,2.0524125694e-01,1.1092042170e+02,4.7158149297e-10,   2
1.7732485704e+06,4.1407328000e+00,1.9651597321e-01,1.1271346751e+02,1.9888555223e-10,   2
